orderdate,shipdate,shipmode,customername,segment,country,market,category,productname,sales,quantity,profit,shippingcost,row_no
2011-01-14,2011-01-20,Standard Class,Bart Pistole,Corporate,Nicaragua,LATAM,Office Supplies,Tenex Shelving,109,3,28.38,6.11,190
2011-01-14,2011-01-18,Standard Class,Bruce Degenhardt,Consumer,Turkey,EMEA,Office Supplies,Smead Lockers,79,1,-85.332,5.84,191
2011-01-14,2011-01-18,Standard Class,Bruce Degenhardt,Consumer,Turkey,EMEA,Office Supplies,Acme Trimmer,74,4,-70.32,4.48,192
2011-01-14,2011-01-20,Standard Class,Bart Pistole,Corporate,Nicaragua,LATAM,Office Supplies,Cardinal Binder Covers,66,8,9.12,3.61,193
2011-01-14,2011-01-19,Standard Class,Brian Dahlen,Consumer,United States,US,Office Supplies,4009 Highlighters by Sanford,20,5,6.567,3.03,194
2011-01-14,2011-01-16,Second Class,Chris Selesnick,Corporate,United States,US,Office Supplies,Staples,11,2,5.3392,2.88,195
2011-01-14,2011-01-19,Standard Class,Michael Moore,Consumer,United States,US,Office Supplies,Xerox 1923,37,7,13.0928,1.46,196
2011-01-14,2011-01-16,Second Class,Chris Selesnick,Corporate,United States,US,Office Supplies,Staples,6,3,2.7072,0.85,197
2011-01-14,2011-01-18,Standard Class,Bruce Degenhardt,Consumer,Turkey,EMEA,Office Supplies,Stanley Canvas,79,4,-87.168,0.43,198
2011-01-14,2011-01-19,Standard Class,Michael Moore,Consumer,United States,US,Office Supplies,Avery Metallic Poly Binders,3,2,-2.5212,0.27,199
2011-01-15,2011-01-20,Second Class,Don Jones,Corporate,Germany,EU,Technology,Hewlett Copy Machine,527,2,10.5,92.1,200
2011-01-15,2011-01-18,First Class,Craig Leslie,Home Office,France,EU,Furniture,Dania Library with Doors,652,2,7.2,88.52,201
2011-01-15,2011-01-17,First Class,Ross Baird,Home Office,Dominican Republic,LATAM,Furniture,Hon Swivel Stool,265,3,23.22,43.56,202
2011-01-15,2011-01-15,Same Day,Mick Crebagga,Consumer,Indonesia,APAC,Office Supplies,Binney & Smith Canvas,150,4,-49.3488,21.15,203
2011-01-15,2011-01-15,Same Day,Mick Crebagga,Consumer,Indonesia,APAC,Office Supplies,Stanley Markers,51,3,-0.0126,21.13,204
2011-01-15,2011-01-20,Second Class,Don Jones,Corporate,Germany,EU,Office Supplies,Cuisinart Microwave,249,1,2.76,15.08,205
2011-01-15,2011-01-16,First Class,Brendan Sweed,Corporate,United States,US,Furniture,Sauder Cornerstone Collection Library,62,4,-53.2856,10.96,206
2011-01-15,2011-01-20,Second Class,Don Jones,Corporate,Germany,EU,Office Supplies,Green Bar Computer Printout Paper,170,5,25.35,8.42,207
2011-01-15,2011-01-20,Second Class,Don Jones,Corporate,Germany,EU,Office Supplies,Elite Letter Opener,55,2,2.16,4.12,208
2011-01-15,2011-01-21,Standard Class,Mick Brown,Consumer,Nigeria,Africa,Furniture,Harbour Creations Rocking Chair,45,1,-56.856,3.43,209
2011-01-15,2011-01-21,Standard Class,Mick Brown,Consumer,Nigeria,Africa,Office Supplies,Advantus Staples,19,6,-38.898,1.46,210
2011-01-15,2011-01-21,Standard Class,Mick Brown,Consumer,Nigeria,Africa,Office Supplies,Sanford Markers,15,2,-14.754,1.02,211
2011-01-15,2011-01-20,Second Class,Don Jones,Corporate,Germany,EU,Office Supplies,Harbour Creations Removable Labels,21,2,7.44,0.76,212
2011-01-16,2011-01-18,First Class,Erica Hackney,Consumer,United States,US,Technology,Logitech 910,150,5,65.978,45.24,213
2011-01-17,2011-01-22,Standard Class,Alan Haines,Corporate,El Salvador,LATAM,Technology,Hewlett Fax and Copier,1,11,251.71124,159.52,214
2011-01-17,2011-01-19,Second Class,Edward Hooks,Corporate,France,EU,Office Supplies,Binney & Smith Markers,300,11,50.82,38.7,215
2011-01-17,2011-01-19,Second Class,Delfina Latchford,Consumer,United States,US,Furniture,DAX Black Cherry Wood,127,6,28.5984,36.4,216
2011-01-17,2011-01-19,Second Class,Delfina Latchford,Consumer,United States,US,Technology,AT&T 841000 Phone,124,3,-31.05,26.12,217
2011-01-17,2011-01-19,Second Class,Delfina Latchford,Consumer,United States,US,Office Supplies,Round Specialty Laser Printer Labels,30,3,10.1493,10.17,218
2011-01-17,2011-01-19,Second Class,Edward Hooks,Corporate,France,EU,Office Supplies,Fellowes Box,84,5,33.675,7.33,219
2011-01-17,2011-01-19,Second Class,Edward Hooks,Corporate,France,EU,Office Supplies,Fellowes Folders,95,4,42.24,6.56,220
2011-01-17,2011-01-19,Second Class,Edward Hooks,Corporate,France,EU,Office Supplies,Tenex Box,46,3,18.846,6.46,221
2011-01-17,2011-01-18,First Class,Vivian Mathis,Consumer,Australia,APAC,Office Supplies,Ibico Binder,37,4,-9.288,5.48,222
2011-01-17,2011-01-19,Second Class,Delfina Latchford,Consumer,United States,US,Office Supplies,GBC Linen Binding Covers,19,2,-13.6312,5.26,223
2011-01-17,2011-01-21,Standard Class,Tamara Willingham,Home Office,Australia,APAC,Office Supplies,Stanley Pens,19,2,5.136,3.96,224
2011-01-17,2011-01-23,Standard Class,Shirley Daniels,Home Office,Denmark,EU,Office Supplies,Hon Shipping Labels,17,3,-7.515,0.4,225
2011-01-18,2011-01-21,First Class,Charles Sheldon,Corporate,Tanzania,Africa,Office Supplies,Fellowes Lockers,746,4,132.588,132.29,226
2011-01-18,2011-01-21,First Class,Michael Dominguez,Corporate,Spain,EU,Office Supplies,Stockwell Thumb Tacks,108,8,33.36,18.36,227
2011-01-18,2011-01-23,Standard Class,Vivek Gonzalez,Consumer,Brazil,LATAM,Office Supplies,OIC Clamps,38,3,6.12,4.7,228
2011-01-18,2011-01-23,Second Class,Richard Bierner,Consumer,Denmark,EU,Office Supplies,Acco Binding Machine,26,1,-10.755,2.53,229
2011-01-18,2011-01-21,First Class,Beth Paige,Consumer,Saudi Arabia,EMEA,Office Supplies,Cardinal Binder,14,1,2.97,2.48,230
2011-01-19,2011-01-21,First Class,Patrick Gardner,Consumer,Zambia,Africa,Office Supplies,Binney & Smith Pencil Sharpener,418,14,95.76,143.67,231
2011-01-19,2011-01-20,First Class,Matt Abelman,Home Office,Italy,EU,Office Supplies,Wilson Jones Binding Machine,145,3,43.56,58.25,232
2011-01-19,2011-01-24,Standard Class,Aleksandra Gannaway,Corporate,Nicaragua,LATAM,Technology,Okidata Printer,716,4,221.92,36.29,233
2011-01-19,2011-01-24,Standard Class,Aleksandra Gannaway,Corporate,Nicaragua,LATAM,Furniture,Ikea Floating Shelf Set,226,2,33.96,25.81,234
2011-01-19,2011-01-23,Standard Class,Pauline Webber,Corporate,Myanmar (Burma),APAC,Technology,Brother Ink,278,3,-106.083,21.22,235
2011-01-19,2011-01-20,First Class,Matt Abelman,Home Office,Italy,EU,Office Supplies,Fellowes Folders,48,3,7.92,15.23,236
2011-01-19,2011-01-21,First Class,Patrick Gardner,Consumer,Zambia,Africa,Technology,Belkin Mouse,41,1,6.12,12.68,237
2011-01-19,2011-01-22,Second Class,David Wiener,Corporate,United States,US,Office Supplies,Fellowes Mighty 8 Compact Surge Protector,65,4,6.4864,5.04,238
2011-01-19,2011-01-24,Standard Class,Aleksandra Gannaway,Corporate,Nicaragua,LATAM,Technology,SanDisk Flash Drive,53,2,16.32,4.1,239
2011-01-19,2011-01-21,First Class,Ann Blume,Corporate,Italy,EU,Office Supplies,GlobeWeis Business Envelopes,48,3,21.24,3.54,240
2011-01-19,2011-01-22,Second Class,Michael Kennedy,Corporate,Canada,Canada,Office Supplies,Stockwell Clamps,16,1,5.7,1.4,241
2011-01-20,2011-01-20,Same Day,Michelle Arnett,Home Office,Angola,Africa,Furniture,Bush Classic Bookcase,825,2,338.34,88.97,242
2011-01-20,2011-01-20,Same Day,Suzanne McNair,Corporate,Mexico,LATAM,Office Supplies,Cuisinart Microwave,372,2,81.88,82.67,243
2011-01-20,2011-01-21,First Class,Toby Swindell,Consumer,United States,US,Furniture,O'Sullivan 4,181,5,-320.597,29.68,244
2011-01-20,2011-01-22,First Class,Irene Maddox,Consumer,Iran,EMEA,Furniture,Office Star Rocking Chair,141,1,57.75,20.93,245
2011-01-20,2011-01-25,Standard Class,Alejandro Ballentine,Home Office,Mexico,LATAM,Furniture,Bush Library with Doors,196,1,-34.252,17.08,246
2011-01-20,2011-01-21,First Class,Toby Swindell,Consumer,United States,US,Office Supplies,TOPS Carbonless Receipt Book,56,4,19.6224,14.49,247
2011-01-20,2011-01-20,Same Day,Michelle Arnett,Home Office,Angola,Africa,Office Supplies,Smead Trays,49,1,15.51,11.64,248
2011-01-20,2011-01-21,First Class,Toby Swindell,Consumer,United States,US,Office Supplies,Tyvek  Top,109,5,36.693,10.39,249
2011-01-20,2011-01-25,Standard Class,Darren Koutras,Consumer,France,EU,Office Supplies,Boston Pencil Sharpener,58,2,7.56,8.77,250
2011-01-20,2011-01-20,Same Day,Michelle Arnett,Home Office,Angola,Africa,Office Supplies,Eldon Trays,48,1,15.84,7.92,251
2011-01-20,2011-01-24,Standard Class,Randy Bradley,Consumer,Nigeria,Africa,Office Supplies,Green Bar Note Cards,37,4,-73.68,6.08,252
2011-01-20,2011-01-21,First Class,Toby Swindell,Consumer,United States,US,Office Supplies,GBC Standard Recycled Report Covers,32,10,-23.716,6.03,253
2011-01-20,2011-01-24,Standard Class,Randy Bradley,Consumer,Nigeria,Africa,Office Supplies,Fellowes Box,24,4,-42.624,3.74,254
2011-01-20,2011-01-22,Second Class,Ruben Dartt,Consumer,Russia,EMEA,Office Supplies,Novimex Color Coded Labels,10,1,4.83,2.05,255
2011-01-20,2011-01-22,Second Class,Ruben Dartt,Consumer,Russia,EMEA,Office Supplies,Novimex Shipping Labels,11,1,4.08,1.48,256
2011-01-20,2011-01-24,Second Class,Toby Ritter,Consumer,Australia,APAC,Furniture,Advantus Clock,139,3,27.693,1.23,257
2011-01-21,2011-01-27,Standard Class,Hunter Lopez,Consumer,Nicaragua,LATAM,Furniture,Chromcraft Conference Table,2,6,-0.072,320.38,258
2011-01-21,2011-01-27,Standard Class,Sally Hughsby,Corporate,Mongolia,EMEA,Office Supplies,Fellowes Lockers,1,6,211.5,88.66,259
2011-01-21,2011-01-27,Standard Class,Hunter Lopez,Consumer,United States,US,Furniture,Hon 4700 Series Mobuis Mid,1,3,224.2674,85.72,260
2011-01-21,2011-01-27,Standard Class,Hunter Lopez,Consumer,United States,US,Technology,Apple iPhone 5C,700,7,181.9818,31.52,261
2011-01-21,2011-01-27,Standard Class,Hunter Lopez,Consumer,Nicaragua,LATAM,Technology,Cisco Signal Booster,405,4,121.44,26.73,262
2011-01-21,2011-01-27,Standard Class,Sally Hughsby,Corporate,Mongolia,EMEA,Furniture,Office Star Rocking Chair,277,2,55.38,24.75,263
2011-01-21,2011-01-27,Standard Class,Xylona Preis,Consumer,United States,US,Furniture,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,273,3,30.0234,20.68,264
2011-01-21,2011-01-27,Standard Class,Hunter Lopez,Consumer,Nicaragua,LATAM,Technology,Apple Signal Booster,182,2,16.4,19.1,265
2011-01-21,2011-01-26,Standard Class,Ryan Crowe,Consumer,Germany,EU,Technology,Memorex Router,495,2,232.8,18.43,266
2011-01-21,2011-01-27,Standard Class,Xylona Preis,Consumer,United States,US,Office Supplies,Holmes Replacement Filter for HEPA Air Cleaner,248,4,93.5816,14.53,267
2011-01-21,2011-01-27,Standard Class,Hunter Lopez,Consumer,Nicaragua,LATAM,Office Supplies,Fiskars Box Cutter,107,5,46.1,8.92,268
2011-01-21,2011-01-27,Standard Class,Xylona Preis,Consumer,United States,US,Office Supplies,Fellowes Bases and Tops For Staxonsteel/High,67,2,15.9792,8.4,269
2011-01-21,2011-01-27,Standard Class,Sally Hughsby,Corporate,Mongolia,EMEA,Office Supplies,Fiskars Trimmer,85,2,12.66,6.06,270
2011-01-21,2011-01-27,Standard Class,Hunter Lopez,Consumer,Nicaragua,LATAM,Office Supplies,Avery Binder Covers,61,8,28.64,5.22,271
2011-01-21,2011-01-27,Standard Class,Xylona Preis,Consumer,United States,US,Office Supplies,Panasonic KP,44,3,12.7368,4.88,272
2011-01-21,2011-01-26,Standard Class,Darrin Van Huff,Corporate,Iran,EMEA,Office Supplies,Rogers Shelving,61,1,18.96,4.61,273
2011-01-21,2011-01-27,Standard Class,Muhammed MacIntyre,Corporate,United States,US,Office Supplies,GBC DocuBind TL200 Manual Binding Machine,67,1,-51.5154,3.0,274
2011-01-21,2011-01-27,Standard Class,Hunter Lopez,Consumer,United States,US,Office Supplies,Staples,23,3,10.9698,2.6,275
2011-01-21,2011-01-27,Standard Class,Hunter Lopez,Consumer,United States,US,Furniture,Eldon Expressions Desk Accessory,39,4,11.58,2.57,276
2011-01-21,2011-01-25,Standard Class,Pauline Webber,Corporate,Thailand,APAC,Office Supplies,Sanford Sketch Pad,52,2,-24.3804,2.02,277
2011-01-21,2011-01-27,Standard Class,Xylona Preis,Consumer,United States,US,Office Supplies,Storex Dura Pro Binders,30,5,13.365,1.98,278
2011-01-21,2011-01-27,Standard Class,Sally Hughsby,Corporate,Mongolia,EMEA,Office Supplies,Cameo Manila Envelope,27,1,2.43,1.58,279
2011-01-21,2011-01-27,Standard Class,Hunter Lopez,Consumer,Nicaragua,LATAM,Office Supplies,Acco Binder Covers,18,2,1.56,1.29,280
2011-01-21,2011-01-27,Standard Class,Hunter Lopez,Consumer,United States,US,Office Supplies,Newell 351,23,7,6.6584,1.22,281
2011-01-21,2011-01-27,Standard Class,Xylona Preis,Consumer,United States,US,Office Supplies,Acco Pressboard Covers with Storage Hooks,19,5,8.9535,1.21,282
2011-01-21,2011-01-27,Standard Class,Xylona Preis,Consumer,United States,US,Office Supplies,Eldon Fold 'N Roll Cart System,14,1,4.0542,1.14,283
2011-01-21,2011-01-26,Standard Class,Mark Van Huff,Consumer,United States,US,Office Supplies,Wirebound Service Call Books,19,2,9.2928,0.94,284
2011-01-21,2011-01-27,Standard Class,Xylona Preis,Consumer,United States,US,Furniture,Ultra Door Push Plate,15,3,4.8609,0.71,285
2011-01-21,2011-01-26,Standard Class,Mark Van Huff,Consumer,United States,US,Furniture,Eldon Expressions Desk Accessory,19,2,5.79,0.64,286
2011-01-21,2011-01-27,Standard Class,Hunter Lopez,Consumer,United States,US,Office Supplies,Newell 327,7,3,1.7901,0.47,287
2011-01-22,2011-01-26,Standard Class,Paul Stevenson,Home Office,Italy,EU,Office Supplies,Rogers Lockers,889,7,59.22,96.45,288
2011-01-22,2011-01-26,Standard Class,Paul Stevenson,Home Office,Italy,EU,Furniture,Bush Classic Bookcase,825,2,338.34,77.08,289
2011-01-22,2011-01-26,Standard Class,Marc Harrigan,Home Office,Belgium,EU,Office Supplies,Tenex File Cart,666,5,119.85,73.27,290
2011-01-22,2011-01-23,First Class,Sung Shariari,Consumer,Australia,APAC,Office Supplies,Binney & Smith Highlighters,60,6,-33.876,27.43,291
2011-01-22,2011-01-24,First Class,Jason Klamczynski,Corporate,Kenya,Africa,Office Supplies,Smead Trays,95,2,12.36,21.6,292
2011-01-22,2011-01-26,Standard Class,Claudia Bergmann,Corporate,France,EU,Office Supplies,Acco Binding Machine,202,4,22.2,18.96,293
2011-01-22,2011-01-27,Standard Class,Carl Ludwig,Consumer,El Salvador,LATAM,Furniture,Sauder Floating Shelf Set,259,2,101.16,11.91,294
2011-01-22,2011-01-26,Standard Class,Michael Paige,Corporate,Colombia,LATAM,Furniture,Novimex Steel Folding Chair,219,4,0.0,10.23,295
2011-01-22,2011-01-26,Standard Class,Michael Paige,Corporate,Colombia,LATAM,Technology,SanDisk Keyboard,109,2,27.2,9.0,296
2011-01-22,2011-01-26,Standard Class,Paul Stevenson,Home Office,Italy,EU,Office Supplies,Boston Canvas,54,1,12.39,5.13,297
2011-01-22,2011-01-26,Standard Class,Claudia Bergmann,Corporate,France,EU,Technology,Samsung Headset,65,1,24.3225,4.38,298
2011-01-22,2011-01-24,Second Class,Tom Boeckenhauer,Consumer,United States,US,Furniture,Ultra Door Pull Handle,25,3,4.1028,3.64,299
2011-01-22,2011-01-27,Standard Class,Brendan Murry,Corporate,Turkey,EMEA,Furniture,Advantus Clock,77,4,-104.688,2.36,300
2011-01-22,2011-01-23,First Class,Sung Shariari,Consumer,Australia,APAC,Office Supplies,Stockwell Staples,6,1,-3.912,1.77,301
2011-01-22,2011-01-26,Standard Class,Marc Harrigan,Home Office,Belgium,EU,Office Supplies,Avery Index Tab,12,2,3.12,0.27,302
2011-01-23,2011-01-23,Same Day,Larry Tron,Consumer,Nicaragua,LATAM,Furniture,Dania Classic Bookcase,1,4,198.32,146.12,303
2011-01-23,2011-01-23,Same Day,Larry Tron,Consumer,Nicaragua,LATAM,Furniture,Novimex Executive Leather Armchair,920,3,395.76,45.77,304
2011-01-23,2011-01-23,Same Day,Larry Tron,Consumer,Nicaragua,LATAM,Office Supplies,Stiletto Box Cutter,48,2,15.8,5.55,305
2011-01-23,2011-01-23,Same Day,Larry Tron,Consumer,Nicaragua,LATAM,Office Supplies,Harbour Creations Color Coded Labels,26,3,9.78,3.61,306
2011-01-23,2011-01-23,Same Day,Larry Tron,Consumer,Nicaragua,LATAM,Office Supplies,Eaton Memo Slips,24,2,1.64,3.27,307
2011-01-23,2011-01-27,Standard Class,Corey Roper,Home Office,Saudi Arabia,EMEA,Office Supplies,OIC Clamps,34,2,12.36,1.91,308
2011-01-23,2011-01-27,Standard Class,Corey Roper,Home Office,Saudi Arabia,EMEA,Office Supplies,Ibico Index Tab,9,1,1.59,0.58,309
2011-01-24,2011-01-24,Same Day,Ann Blume,Corporate,Estonia,EMEA,Technology,Cisco Smart Phone,1,2,286.56,234.73,310
2011-01-24,2011-01-24,Same Day,Ann Blume,Corporate,Estonia,EMEA,Office Supplies,Breville Stove,561,1,61.68,133.57,311
2011-01-24,2011-01-29,Standard Class,Christine Phan,Corporate,Germany,EU,Technology,Sharp Fax Machine,591,2,53.16,66.1,312
2011-01-24,2011-01-26,First Class,Shirley Jackson,Consumer,Italy,EU,Furniture,Harbour Creations Swivel Stool,73,1,-56.562,29.86,313
2011-01-24,2011-01-30,Standard Class,Jill Matthias,Consumer,New Zealand,APAC,Office Supplies,Kraft Manila Envelope,420,14,147.0,20.03,314
2011-01-24,2011-01-30,Standard Class,Jill Matthias,Consumer,New Zealand,APAC,Furniture,Tenex Frame,220,2,8.76,16.92,315
2011-01-24,2011-01-24,Same Day,Ann Blume,Corporate,Estonia,EMEA,Furniture,Hon Rocking Chair,133,1,63.87,15.16,316
2011-01-24,2011-01-26,First Class,Shirley Jackson,Consumer,Italy,EU,Furniture,Office Star Bag Chairs,69,3,-95.202,12.7,317
2011-01-24,2011-01-30,Standard Class,Jill Matthias,Consumer,New Zealand,APAC,Office Supplies,Boston Pens,139,8,65.28,11.94,318
2011-01-24,2011-01-26,First Class,Shirley Jackson,Consumer,Italy,EU,Office Supplies,SanDisk Memo Slips,55,3,2.7,11.16,319
2011-01-24,2011-01-29,Standard Class,Lena Creighton,Consumer,Australia,APAC,Technology,SanDisk Flash Drive,111,3,8.568,9.92,320
2011-01-24,2011-01-26,First Class,Shirley Jackson,Consumer,Italy,EU,Office Supplies,Advantus Staples,41,4,2.88,5.24,321
2011-01-24,2011-01-26,First Class,Shirley Jackson,Consumer,Italy,EU,Office Supplies,Harbour Creations Color Coded Labels,54,5,7.5,4.72,322
2011-01-24,2011-01-29,Standard Class,Ionia McGrath,Consumer,United States,US,Office Supplies,Xerox 195,40,6,19.2384,4.31,323
2011-01-24,2011-01-30,Standard Class,Chuck Clark,Home Office,India,APAC,Office Supplies,Avery Shipping Labels,59,5,27.75,4.27,324
2011-01-24,2011-01-30,Standard Class,Greg Hansen,Consumer,Madagascar,Africa,Office Supplies,Avery Round Labels,42,6,9.18,3.57,325
2011-01-24,2011-01-26,Second Class,Joni Sundaresam,Home Office,Italy,EU,Office Supplies,Boston Markers,28,1,4.14,3.33,326
2011-01-24,2011-01-29,Standard Class,Mitch Webber,Consumer,Indonesia,APAC,Office Supplies,Avery Hole Reinforcements,12,3,4.2273,1.2,327
2011-01-24,2011-01-28,Standard Class,Speros Goranitis,Consumer,United States,US,Office Supplies,Alliance Big Bands Rubber Bands,6,3,0.0,0.95,328
2011-01-24,2011-01-28,Standard Class,Janet Martin,Consumer,Turkey,EMEA,Office Supplies,OIC Clamps,15,2,-3.84,0.94,329
2011-01-24,2011-01-29,Standard Class,Christine Phan,Corporate,Germany,EU,Office Supplies,Avery Binder Covers,11,1,4.11,0.62,330
2011-01-25,2011-01-29,Standard Class,Frank Olsen,Consumer,France,EU,Office Supplies,Stanley Canvas,445,9,71.01,33.54,331
2011-01-25,2011-01-28,Second Class,Gary Hwang,Consumer,Nigeria,Africa,Technology,Panasonic Phone,148,6,-182.178,18.61,332
2011-01-25,2011-01-30,Standard Class,Aimee Bixby,Consumer,France,EU,Office Supplies,Stanley Markers,178,7,58.59,16.94,333
2011-01-25,2011-01-02,Standard Class,Filia McAdams,Corporate,Germany,EU,Office Supplies,Cardinal Binder,133,10,3.9,8.94,334
2011-01-25,2011-01-29,Standard Class,Frank Olsen,Consumer,France,EU,Office Supplies,Boston Pens,71,5,1.35,6.64,335
2011-01-25,2011-01-26,First Class,Brad Thomas,Home Office,South Africa,Africa,Office Supplies,Sanford Pens,45,4,10.44,6.53,336
2011-01-25,2011-01-29,Standard Class,Bart Pistole,Corporate,Mexico,LATAM,Office Supplies,GlobeWeis Peel and Seal,32,2,10.12,4.45,337
2011-01-25,2011-01-27,First Class,Luke Weiss,Consumer,China,APAC,Office Supplies,Xerox Cards & Envelopes,98,2,34.32,3.17,338
2011-01-25,2011-01-29,Second Class,Sue Ann Reed,Consumer,Cuba,LATAM,Office Supplies,Eaton Computer Printout Paper,18,1,5.98,1.76,339
2011-01-25,2011-01-02,Standard Class,Filia McAdams,Corporate,Germany,EU,Furniture,Advantus Light Bulb,20,1,4.02,1.15,340
2011-01-25,2011-01-28,Second Class,Gary Hwang,Consumer,Nigeria,Africa,Office Supplies,Binney & Smith Pens,4,1,-9.0,0.28,341
2011-01-26,2011-01-27,First Class,Heather Kirkland,Corporate,Indonesia,APAC,Furniture,Novimex Executive Leather Armchair,334,1,-109.9365,92.67,342
2011-01-26,2011-01-31,Standard Class,Jay Fein,Consumer,Turkey,EMEA,Furniture,SAFCO Executive Leather Armchair,1,6,-1475.352,47.35,343
2011-01-26,2011-01-30,Standard Class,Allen Rosenblatt,Corporate,Portugal,EU,Technology,Hewlett Wireless Fax,570,3,-216.765,33.99,344
2011-01-26,2011-01-31,Standard Class,Nat Carroll,Consumer,Morocco,Africa,Technology,Konica Inkjet,311,1,118.02,27.7,345
2011-01-26,2011-01-30,Standard Class,Sally Hughsby,Corporate,Sierra Leone,Africa,Office Supplies,KitchenAid Coffee Grinder,285,4,59.76,25.63,346
2011-01-26,2011-01-26,Same Day,Hunter Glantz,Consumer,France,EU,Furniture,Safco Stackable Bookrack,119,2,-143.076,24.75,347
2011-01-26,2011-01-31,Standard Class,Jay Fein,Consumer,Turkey,EMEA,Office Supplies,Smead Lockers,318,4,-254.64,19.93,348
2011-01-26,2011-01-28,First Class,Bradley Talbott,Home Office,Iran,EMEA,Technology,Enermax Router,256,1,102.45,19.7,349
2011-01-26,2011-01-31,Standard Class,Nat Carroll,Consumer,Morocco,Africa,Technology,HP Personal Copier,124,1,42.24,17.14,350
2011-01-26,2011-01-28,Second Class,Nathan Mautz,Home Office,India,APAC,Office Supplies,Eaton Computer Printout Paper,79,3,25.38,13.82,351
2011-01-26,2011-01-02,Standard Class,Anna Andreadi,Consumer,India,APAC,Office Supplies,BIC Sketch Pad,343,7,54.6,13.22,352
2011-01-26,2011-01-29,Second Class,Alan Shonely,Consumer,France,EU,Office Supplies,Elite Trimmer,345,9,162.27,12.46,353
2011-01-26,2011-01-31,Standard Class,Christina Anderson,Consumer,Indonesia,APAC,Office Supplies,Fellowes Shelving,142,3,51.1659,12.24,354
2011-01-26,2011-01-31,Standard Class,Jay Fein,Consumer,Turkey,EMEA,Office Supplies,Hamilton Beach Blender,115,4,-68.976,11.17,355
2011-01-26,2011-01-29,Second Class,Alan Shonely,Consumer,France,EU,Office Supplies,Rogers Box,108,5,2.4,11.06,356
2011-01-26,2011-01-29,Second Class,Alan Shonely,Consumer,France,EU,Office Supplies,Ibico Binder Covers,136,9,16.2,9.44,357
2011-01-26,2011-01-29,Second Class,Alan Shonely,Consumer,France,EU,Office Supplies,BIC Highlighters,88,4,15.84,7.14,358
2011-01-26,2011-01-30,Standard Class,Michael Moore,Consumer,Norway,EU,Technology,Memorex Flash Drive,88,3,18.45,5.54,359
2011-01-26,2011-01-30,Standard Class,Michael Moore,Consumer,Norway,EU,Office Supplies,Avery Binder,52,4,20.04,4.88,360
2011-01-26,2011-01-30,Standard Class,Patrick O'Brill,Consumer,Spain,EU,Office Supplies,Smead Removable Labels,32,3,10.08,4.82,361
2011-01-26,2011-01-26,Same Day,Hunter Glantz,Consumer,France,EU,Office Supplies,Cardinal Binder,41,6,-10.89,3.98,362
2011-01-26,2011-01-31,Standard Class,Jay Fein,Consumer,Turkey,EMEA,Furniture,Novimex Steel Folding Chair,34,1,-38.982,3.08,363
2011-01-26,2011-01-29,Second Class,Alan Shonely,Consumer,France,EU,Office Supplies,Smead Trays,86,2,2.85,2.65,364
2011-01-26,2011-01-26,Same Day,Hunter Glantz,Consumer,France,EU,Office Supplies,Kraft Clasp Envelope,12,3,-8.01,1.75,365
2011-01-26,2011-01-29,Second Class,Alan Shonely,Consumer,France,EU,Office Supplies,Green Bar Note Cards,60,2,21.42,1.74,366
2011-01-26,2011-01-31,Standard Class,Nat Carroll,Consumer,Morocco,Africa,Office Supplies,Cardinal Index Tab,9,1,4.02,1.43,367
2011-01-26,2011-01-31,Standard Class,Jay Fein,Consumer,Turkey,EMEA,Office Supplies,Xerox Message Books,16,2,-5.724,1.28,368
2011-01-26,2011-01-30,Standard Class,Michael Moore,Consumer,Norway,EU,Office Supplies,Acco Binder Covers,13,1,5.49,1.2,369
2011-01-26,2011-01-31,Standard Class,Nat Carroll,Consumer,Morocco,Africa,Office Supplies,Novimex Shipping Labels,11,1,4.83,0.88,370
2011-01-26,2011-01-29,Second Class,Alan Shonely,Consumer,France,EU,Furniture,Rubbermaid Stacking Tray,177,8,0.0,0.61,371
2011-01-26,2011-01-31,Standard Class,Jay Fein,Consumer,Turkey,EMEA,Office Supplies,Hon Color Coded Labels,5,1,-7.338,0.34,372
2011-01-27,2011-01-30,First Class,Carol Adams,Corporate,United States,US,Furniture,Safco Value Mate Series Steel Bookcases,142,2,39.7488,24.59,373
2011-01-27,2011-01-29,Second Class,Neola Schneider,Consumer,Mexico,LATAM,Office Supplies,Acco Binder Covers,115,13,10.14,24.52,374
2011-01-27,2011-01-02,Standard Class,Shirley Daniels,Home Office,United States,US,Office Supplies,SAFCO Commercial Wire Shelving,490,8,0.0,21.48,375
2011-01-27,2011-01-02,Standard Class,Shirley Daniels,Home Office,United States,US,Technology,Jabra SPEAK 410,188,2,52.6344,17.66,376
2011-01-27,2011-01-02,Standard Class,Kean Nguyen,Corporate,China,APAC,Technology,Okidata Calculator,367,7,106.26,17.61,377
2011-01-27,2011-01-29,Second Class,Todd Sumrall,Corporate,Central African Republic,Africa,Office Supplies,Kleencut Trimmer,76,2,20.58,16.59,378
2011-01-27,2011-01-02,Standard Class,Shirley Daniels,Home Office,United States,US,Technology,Macally Suction Cup Mount,155,13,0.0,11.95,379
2011-01-27,2011-01-02,Standard Class,Ryan Akin,Consumer,Czech Republic,EMEA,Office Supplies,Fellowes Trays,230,4,15.96,10.73,380
